Week,Location,Lat,Long,Park,Percent_asphalt,Button,minTemp,maxTemp,meanTemp
22,Park,43.54689,79.65742,Erindale,0,Erindale1P,9,37,14.488817891373802
23,Park,43.54689,79.65742,Erindale,0,Erindale1P,7,29,14.50297619047619
24,Park,43.54689,79.65742,Erindale,0,Erindale1P,9,28,14.985119047619047
25,Park,43.54689,79.65742,Erindale,0,Erindale1P,11,24,16.642857142857142
26,Park,43.54689,79.65742,Erindale,0,Erindale1P,14,24,19.160714285714285
27,Park,43.54689,79.65742,Erindale,0,Erindale1P,15,25,20.913690476190474
28,Park,43.54689,79.65742,Erindale,0,Erindale1P,17,21,18.92452830188679
22,West,43.54065,79.66041,Erindale,52.5,Erindale1W,9,29,14.215434083601286
23,West,43.54065,79.66041,Erindale,52.5,Erindale1W,7,43,16.270833333333332
24,West,43.54065,79.66041,Erindale,52.5,Erindale1W,9,38,15.928571428571429
25,West,43.54065,79.66041,Erindale,52.5,Erindale1W,13,44,19.485119047619047
26,West,43.54065,79.66041,Erindale,52.5,Erindale1W,15,47,21.916666666666668
27,West,43.54065,79.66041,Erindale,52.5,Erindale1W,14,42,23.288690476190474
28,West,43.54065,79.66041,Erindale,52.5,Erindale1W,13,33,19.547169811320753
22,West,43.53944,79.66028,Erindale,33.373,Erindale2W,9,33,14.810289389067524
23,West,43.53944,79.66028,Erindale,33.373,Erindale2W,8,25,15.586309523809524
24,West,43.53944,79.66028,Erindale,33.373,Erindale2W,11,22,15.830357142857142
25,West,43.53944,79.66028,Erindale,33.373,Erindale2W,14,24,18.485119047619047
26,West,43.53944,79.66028,Erindale,33.373,Erindale2W,17,28,21.526785714285715
27,West,43.53944,79.66028,Erindale,33.373,Erindale2W,17,29,23.25
28,West,43.53944,79.66028,Erindale,33.373,Erindale2W,18,25,20.81132075471698
22,East,43.55785,79.6472,Erindale,0,Erindale3E,9,22,13.643790849673202
23,East,43.55785,79.6472,Erindale,0,Erindale3E,7,27,14.538690476190476
24,East,43.55785,79.6472,Erindale,0,Erindale3E,10,28,14.931547619047619
25,East,43.55785,79.6472,Erindale,0,Erindale3E,13,33,17.580357142857142
26,East,43.55785,79.6472,Erindale,0,Erindale3E,15,36,20.75297619047619
27,East,43.55785,79.6472,Erindale,0,Erindale3E,15,38,22.61904761904762
28,East,43.55785,79.6472,Erindale,0,Erindale3E,16,33,20.452830188679247
22,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,9,32,16.05128205128205
23,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,7,26,16.270833333333332
24,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,10,22,16.428571428571427
25,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,13,25,18.678571428571427
26,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,15,26,21.226190476190474
27,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,16,28,23.142857142857142
28,Park,43.55044,79.65558,Erindale,30.299,Erindale3P,16,24,19.867924528301888
22,West,43.5383,79.66197,Erindale,37.866,Erindale3W,10,39,14.540192926045016
23,West,43.5383,79.66197,Erindale,37.866,Erindale3W,8,38,14.904761904761905
24,West,43.5383,79.66197,Erindale,37.866,Erindale3W,11,34,14.988095238095237
25,West,43.5383,79.66197,Erindale,37.866,Erindale3W,13,36,17.598214285714285
26,West,43.5383,79.66197,Erindale,37.866,Erindale3W,15,37,20.342261904761905
27,West,43.5383,79.66197,Erindale,37.866,Erindale3W,15,35,22.166666666666668
28,West,43.5383,79.66197,Erindale,37.866,Erindale3W,15,29,19.433962264150942
22,East,43.5613,79.64423,Erindale,0,Erindale4E,8,32,14.457516339869281
23,East,43.5613,79.64423,Erindale,0,Erindale4E,6,26,15.607142857142858
24,East,43.5613,79.64423,Erindale,0,Erindale4E,10,22,15.392857142857142
25,East,43.5613,79.64423,Erindale,0,Erindale4E,12,23,17.99404761904762
26,East,43.5613,79.64423,Erindale,0,Erindale4E,15,27,20.886904761904763
27,East,43.5613,79.64423,Erindale,0,Erindale4E,15,30,22.779761904761905
28,East,43.5613,79.64423,Erindale,0,Erindale4E,15,26,19.77358490566038
22,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,6,27,15.35576923076923
23,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,5,26,15.25
24,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,7,21,15.74702380952381
25,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,11,23,17.404761904761905
26,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,13,26,19.708333333333332
27,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,14,27,21.43452380952381
28,Park,43.54783,79.65466,Erindale,17.226,Erindale4P,13,24,18.452830188679247
22,East,43.5639,79.64082,Erindale,68.315,Erindale5E,10,25,14.545751633986928
23,East,43.5639,79.64082,Erindale,68.315,Erindale5E,7,43,16.61904761904762
24,East,43.5639,79.64082,Erindale,68.315,Erindale5E,10,21,15.761904761904763
25,East,43.5639,79.64082,Erindale,68.315,Erindale5E,13,27,18.779761904761905
26,East,43.5639,79.64082,Erindale,68.315,Erindale5E,16,43,22.714285714285715
27,East,43.5639,79.64082,Erindale,68.315,Erindale5E,16,46,25.110119047619047
28,East,43.5639,79.64082,Erindale,68.315,Erindale5E,16,39,22.71698113207547
22,Park,43.54481,79.65705,Erindale,0,Erindale5P,8,28,14.602564102564102
23,Park,43.54481,79.65705,Erindale,0,Erindale5P,7,28,14.99702380952381
24,Park,43.54481,79.65705,Erindale,0,Erindale5P,9,23,14.976190476190476
25,Park,43.54481,79.65705,Erindale,0,Erindale5P,12,25,17.133928571428573
26,Park,43.54481,79.65705,Erindale,0,Erindale5P,14,26,19.270833333333332
27,Park,43.54481,79.65705,Erindale,0,Erindale5P,14,26,20.68154761904762
28,Park,43.54481,79.65705,Erindale,0,Erindale5P,14,24,18.056603773584907
22,West,43.52884,79.66573,Erindale,27.554,Erindale5W,8,34,14.841935483870968
23,West,43.52884,79.66573,Erindale,27.554,Erindale5W,6,42,16.12797619047619
24,West,43.52884,79.66573,Erindale,27.554,Erindale5W,10,36,16.104166666666668
25,West,43.52884,79.66573,Erindale,27.554,Erindale5W,13,35,18.764880952380953
26,West,43.52884,79.66573,Erindale,27.554,Erindale5W,15,34,21.133928571428573
27,West,43.52884,79.66573,Erindale,27.554,Erindale5W,16,36,22.75297619047619
28,West,43.52884,79.66573,Erindale,27.554,Erindale5W,17,32,20.81132075471698
27,East,43.64516,79.45055,HighPark,71.885,HighPark1E,19,32,22.223809523809525
28,East,43.64516,79.45055,HighPark,71.885,HighPark1E,17,25,20.229166666666668
29,East,43.64516,79.45055,HighPark,71.885,HighPark1E,18,28,21.99206349206349
30,East,43.64516,79.45055,HighPark,71.885,HighPark1E,17,25,20.65674603174603
31,East,43.64516,79.45055,HighPark,71.885,HighPark1E,18,30,20.67956349206349
32,East,43.64516,79.45055,HighPark,71.885,HighPark1E,18,29,20.683168316831683
27,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,17,27,21.57861635220126
28,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,15,27,20.058531746031747
29,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,16,28,22.28472222222222
30,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,15,28,21.03075396825397
31,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,16,27,20.859126984126984
32,Park,43.65215,79.46758,HighPark,18.561,HighPark1P,17,26,20.065934065934066
27,East,43.64533,79.44928,HighPark,79.892,HighPark2E,20,28,23.57710651828299
28,East,43.64533,79.44928,HighPark,79.892,HighPark2E,17,28,21.464285714285715
29,East,43.64533,79.44928,HighPark,79.892,HighPark2E,18,29,23.446428571428573
30,East,43.64533,79.44928,HighPark,79.892,HighPark2E,18,26,21.717261904761905
31,East,43.64533,79.44928,HighPark,79.892,HighPark2E,18,25,21.625992063492063
32,East,43.64533,79.44928,HighPark,79.892,HighPark2E,19,26,21.49019607843137
27,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,18,28,23.214173228346457
28,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,16,28,21.13095238095238
29,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,17,31,23.59722222222222
30,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,17,32,21.955357142857142
31,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,17,29,21.41468253968254
32,Park,43.64973,79.46452,HighPark,15.576,HighPark2P,17,28,20.51086956521739
27,East,43.64505,79.44543,HighPark,86.213,HighPark3E,19,32,23.43471337579618
28,East,43.64505,79.44543,HighPark,86.213,HighPark3E,17,28,21.646825396825395
29,East,43.64505,79.44543,HighPark,86.213,HighPark3E,17,29,23.171626984126984
30,East,43.64505,79.44543,HighPark,86.213,HighPark3E,17,27,21.995039682539684
31,East,43.64505,79.44543,HighPark,86.213,HighPark3E,17,30,21.648809523809526
32,East,43.64505,79.44543,HighPark,86.213,HighPark3E,18,26,21.62135922330097
27,Park,43.64814,79.46526,HighPark,0,HighPark3P,17,28,22.10236220472441
28,Park,43.64814,79.46526,HighPark,0,HighPark3P,14,30,20.395833333333332
29,Park,43.64814,79.46526,HighPark,0,HighPark3P,16,31,22.456349206349206
30,Park,43.64814,79.46526,HighPark,0,HighPark3P,15,30,20.987103174603174
31,Park,43.64814,79.46526,HighPark,0,HighPark3P,16,28,20.41468253968254
32,Park,43.64814,79.46526,HighPark,0,HighPark3P,16,27,19.70967741935484
27,Park,43.64461,79.46506,HighPark,0,HighPark4P,18,28,22.533123028391167
28,Park,43.64461,79.46506,HighPark,0,HighPark4P,16,26,20.0515873015873
29,Park,43.64461,79.46506,HighPark,0,HighPark4P,17,30,22.436507936507937
30,Park,43.64461,79.46506,HighPark,0,HighPark4P,16,30,21.00793650793651
31,Park,43.64461,79.46506,HighPark,0,HighPark4P,16,29,20.779761904761905
32,Park,43.64461,79.46506,HighPark,0,HighPark4P,16,26,20.04255319148936
27,East,43.64685,79.43901,HighPark,87.949,HighPark5E,20,29,23.526315789473685
28,East,43.64685,79.43901,HighPark,87.949,HighPark5E,18,27,21.47222222222222
29,East,43.64685,79.43901,HighPark,87.949,HighPark5E,17,28,22.783730158730158
30,East,43.64685,79.43901,HighPark,87.949,HighPark5E,17,26,21.643849206349206
31,East,43.64685,79.43901,HighPark,87.949,HighPark5E,17,25,21.270833333333332
32,East,43.64685,79.43901,HighPark,87.949,HighPark5E,19,25,21.42452830188679
27,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,17,28,21.282780410742497
28,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,15,28,19.488095238095237
29,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,16,29,22.026785714285715
30,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,16,26,20.221230158730158
31,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,16,25,19.80654761904762
32,Park,43.64297,79.46519,HighPark,9.806,HighPark5P,15,25,19.70408163265306
27,East,43.65097,79.48978,Humber,2.701,Humber1E,17,30,22.864640883977902
28,East,43.65097,79.48978,Humber,2.701,Humber1E,15,27,20.546626984126984
29,East,43.65097,79.48978,Humber,2.701,Humber1E,17,29,23.033730158730158
30,East,43.65097,79.48978,Humber,2.701,Humber1E,17,28,21.317460317460316
31,East,43.65097,79.48978,Humber,2.701,Humber1E,16,27,21.115079365079364
32,East,43.65097,79.48978,Humber,2.701,Humber1E,16,24,19.28735632183908
27,Park,43.64949,79.49155,Humber,0,Humber1P,16,27,21.68
28,Park,43.64949,79.49155,Humber,0,Humber1P,14,26,19.41765873015873
29,Park,43.64949,79.49155,Humber,0,Humber1P,16,27,22.026785714285715
30,Park,43.64949,79.49155,Humber,0,Humber1P,16,27,20.493055555555557
31,Park,43.64949,79.49155,Humber,0,Humber1P,15,26,20.416666666666668
32,Park,43.64949,79.49155,Humber,0,Humber1P,15,25,18.4
27,West,43.64479,79.50484,Humber,43.459,Humber1W,17,28,22.823848238482384
28,West,43.64479,79.50484,Humber,43.459,Humber1W,15,28,20.177579365079364
29,West,43.64479,79.50484,Humber,43.459,Humber1W,16,30,23.05952380952381
30,West,43.64479,79.50484,Humber,43.459,Humber1W,16,29,21.182539682539684
31,West,43.64479,79.50484,Humber,43.459,Humber1W,16,26,21.067460317460316
32,West,43.64479,79.50484,Humber,43.459,Humber1W,16,22,17.698630136986303
27,East,43.65129,79.48775,Humber,41.347,Humber2E,17,28,22.67590027700831
28,East,43.65129,79.48775,Humber,41.347,Humber2E,16,28,20.488095238095237
29,East,43.65129,79.48775,Humber,41.347,Humber2E,16,29,22.735119047619047
30,East,43.65129,79.48775,Humber,41.347,Humber2E,17,30,21.273809523809526
31,East,43.65129,79.48775,Humber,41.347,Humber2E,17,27,21.053571428571427
32,East,43.65129,79.48775,Humber,41.347,Humber2E,17,25,19.42528735632184
27,Park,43.64662,79.49516,Humber,0,Humber2P,15,29,22.54691689008043
28,Park,43.64662,79.49516,Humber,0,Humber2P,13,30,19.566468253968253
29,Park,43.64662,79.49516,Humber,0,Humber2P,14,30,22.604166666666668
30,Park,43.64662,79.49516,Humber,0,Humber2P,15,30,20.466269841269842
31,Park,43.64662,79.49516,Humber,0,Humber2P,14,28,20.194444444444443
32,Park,43.64662,79.49516,Humber,0,Humber2P,14,24,16.9125
27,West,43.644,79.50938,Humber,33.331,Humber2W,18,28,22.307065217391305
28,West,43.644,79.50938,Humber,33.331,Humber2W,15,25,19.764880952380953
29,West,43.644,79.50938,Humber,33.331,Humber2W,17,27,22.657738095238095
30,West,43.644,79.50938,Humber,33.331,Humber2W,16,26,20.771825396825395
31,West,43.644,79.50938,Humber,33.331,Humber2W,17,25,20.846230158730158
32,West,43.644,79.50938,Humber,33.331,Humber2W,16,21,17.876712328767123
27,East,43.65482,79.47848,Humber,49.882,Humber3E,19,31,23.465373961218837
28,East,43.65482,79.47848,Humber,49.882,Humber3E,16,27,21.25793650793651
29,East,43.65482,79.47848,Humber,49.882,Humber3E,17,28,22.996031746031747
30,East,43.65482,79.47848,Humber,49.882,Humber3E,16,27,21.224206349206348
31,East,43.65482,79.47848,Humber,49.882,Humber3E,17,26,20.99206349206349
32,East,43.65482,79.47848,Humber,49.882,Humber3E,17,24,19.831460674157302
27,Park,43.64364,79.49267,Humber,75.15,Humber3P,17,28,22.595174262734584
28,Park,43.64364,79.49267,Humber,75.15,Humber3P,15,28,20.52777777777778
29,Park,43.64364,79.49267,Humber,75.15,Humber3P,17,26,21.205882352941178
