Park,Location,Name,Number,Installation_date,Installation_time,Latitude,Longitude,Vegetation_sq_m,Asphalt_sq_m,Vegetation_perc,Asphalt_perc,,,,,,,,,
Erindale,Park,1P,607,2019-05-27,11h27,43.54689,79.65742,314,0,100,0,,,,,,,,,
Erindale,Park,3P,609,2019-05-27,11h39,43.55044,79.65558,218.86,95.14,69.70063694,30.29936306,,,,,,,,,
Erindale,Park,4P,610,2019-05-27,11h46,43.54783,79.65466,259.91,54.09,82.77388535,17.22611465,,,,,,,,,
Erindale,Park,5P,611,2019-05-27,11h53,43.54481,79.65705,314,0,100,0,,,,,,,,,
Erindale,West,1W,612,2019-05-27,12h10,43.54065,79.66041,149.15,164.85,47.5,52.5,,,,,,,,,
Erindale,West,2W,613,2019-05-27,12h20,43.53944,79.66028,209.21,104.79,66.62738854,33.37261146,,,,,,,,,
Erindale,West,3W,614,2019-05-27,12h24,43.53830,79.66197,195.1,118.9,62.13375796,37.86624204,,,,,,,,,
Erindale,West,5W,616,2019-05-27,12h51,43.52884,79.66573,227.48,86.52,72.44585987,27.55414013,,,,,,,,,
Erindale,East,3E,619,2019-05-27,15h05,43.55785,79.64720,314,0,100,0,,,,,,,,,
Erindale,East,4E,620,2019-05-27,15h11,43.56130,79.64423,314,0,100,0,,,,,,,,,
Erindale,East,5E,621,2019-05-27,15h17,43.56390,79.64082,99.49,214.51,31.68471338,68.31528662,,,,,,,,,
Humber,Park,1P,1420,2019-07-05,9h33,43.64949,79.49155,314,0,100,0,,,,,,,,,
Humber,Park,2P,1421,2019-07-05,9h43,43.64662,79.49516,314,0,100,0,,,,,,,,,
Humber,Park,3P,1422,2019-07-05,9h50,43.64364,79.49267,78.03,235.97,24.85031847,75.14968153,,,,,,,,,
Humber,Park,4P,1423,2019-07-05,9h59,43.64543,79.49470,305.69,8.31,97.35350318,2.646496815,,,,,,,,,
Humber,Park,5P,1424,2019-07-05,10h21,43.64736,79.50172,230.04,83.96,73.2611465,26.7388535,,,,,,,,,
Humber,West,1W,1425,2019-07-05,10h31,43.64479,79.50484,177.54,136.46,56.54140127,43.45859873,,,,,,,,,
Humber,West,2W,1426,2019-07-05,10h38,43.64400,79.50938,209.34,104.66,66.66878981,33.33121019,,,,,,,,,
Humber,West,3W,1427,2019-07-05,10h45,43.64332,79.51474,314,0,100,0,,,,,,,,,
Humber,West,4W,1428,2019-07-05,10h57,43.64171,79.52162,166.71,147.29,53.09235669,46.90764331,,,,,,,,,
Humber,West,5W,1429,2019-07-05,11h09,43.63990,79.52757,187.11,126.89,59.58917197,40.41082803,,,,,,,,,
Humber,East,1E,1430,2019-07-05,11h40,43.65097,79.48978,305.52,8.48,97.29936306,2.700636943,,,,,,,,,
Humber,East,2E,1431,2019-07-05,11h44,43.65129,79.48775,184.17,129.83,58.65286624,41.34713376,,,,,,,,,
Humber,East,3E,1432,2019-07-05,11h58,43.65482,79.47848,157.37,156.63,50.11783439,49.88216561,,,,,,,,,
Humber,East,4E,1433,2019-07-05,12h07,43.65608,79.47429,118.83,195.17,37.84394904,62.15605096,,,,,,,,,
HighPark,Park,1P,1395,2019-07-03,14h04,43.65215,79.46758,255.72,58.28,81.43949045,18.56050955,,,,,,,,,
HighPark,Park,2P,1396,2019-07-03,14h10,43.64973,79.46452,265.09,48.91,84.42356688,15.57643312,,,,,,,,,
HighPark,Park,3P,1397,2019-07-03,14h16,43.64814,79.46526,314,0,100,0,,,,,,,,,
HighPark,Park,4P,1398,2019-07-03,14h24,43.64461,79.46506,314,0,100,0,,,,,,,,,
HighPark,Park,5P,1399,2019-07-03,14h32,43.64297,79.46519,283.21,30.79,90.19426752,9.805732484,,,,,,,,,
HighPark,East,1E,1400,2019-07-03,15h06,43.64516,79.45055,88.28,225.72,28.11464968,71.88535032,,,,,,,,,
HighPark,East,2E,1401,2019-07-03,15h10,43.64533,79.44928,63.14,250.86,20.10828025,79.89171975,,,,,,,,,
HighPark,East,3E,1402,2019-07-03,15h17,43.64505,79.44543,43.29,270.71,13.7866242,86.2133758,,,,,,,,,
HighPark,East,5E,1404,2019-07-03,15h29,43.64685,79.43901,37.84,276.16,12.05095541,87.94904459,,,,,,,,,
Riverdale,Park,1P,1385,2019-07-03,11h40,43.66637,79.36258,284.02,29.98,90.4522293,9.547770701,,,,,,,,,
Riverdale,Park,2P,1386,2019-07-03,11h44,43.66618,79.36089,225,89,71.65605096,28.34394904,,,,,,,,,
Riverdale,Park,3P,1387,2019-07-03,11h52,43.66793,79.35623,269.71,44.29,85.89490446,14.10509554,,,,,,,,,
Riverdale,Park,4P,1388,2019-07-03,11h55,43.66759,79.35500,273.06,40.94,86.96178344,13.03821656,,,,,,,,,
Riverdale,Park,5P,1389,2019-07-03,12h00,43.66919,79.35409,314,0,100,0,,,,,,,,,
Riverdale,West,5W,1384,2019-07-03,11h35,43.6669,79.36475,111.32,202.68,35.4522293,64.5477707,,,,,,,,,
Riverdale,East,1E,1390,2019-07-03,12h20,43.66990,79.34853,67.15,246.85,21.38535032,78.61464968,,,,,,,,,
Riverdale,East,2E,1391,2019-07-03,12h23,43.67004,79.34782,84.65,229.35,26.95859873,73.04140127,1435,2019-08-06,11h44,43.67012,79.34703,61.65,252.35,19.63375796,80.36624204
Riverdale,East,3E,1392,2019-07-03,12h32,43.67117,79.34283,76.01,237.99,24.20700637,75.79299363,,,,,,,,,
Riverdale,East,4E,1393,2019-07-03,12h39,43.67115,79.33890,212.67,101.33,67.72929936,32.27070064,,,,,,,,,
Riverdale,East,5E,1394,2019-07-03,12h50,43.67182,79.33663,178.58,135.42,56.87261146,43.12738854,,,,,,,,,
Rouge,Park,1P,1405,2019-07-04,11h32,43.81867,79.17050,314,0,100,0,,,,,,,,,
Rouge,Park,2P,1406,2019-07-04,11h42,43.82254,79.16731,314,0,100,0,,,,,,,,,
Rouge,Park,3P,1407,2019-07-04,12h02,43.81564,79.15868,314,0,100,0,,,,,,,,,
Rouge,Park,4P,1408,2019-07-04,12h14,43.81441,79.15198,314,0,100,0,,,,,,,,,
Rouge,Park,5P,1409,2019-07-04,12h25,43.81171,79.15018,314,0,100,0,,,,,,,,,
Rouge,West,1W,1410,2019-07-04,12h47,43.80957,79.16651,314,0,100,0,,,,,,,,,
Rouge,West,2W,1411,2019-07-04,12h53,43.809,79.16924,314,0,100,0,,,,,,,,,
Rouge,West,3W,1412,2019-07-04,13h02,43.80742,79.17641,298,16,94.9044586,5.095541401,,,,,,,,,
Rouge,West,4W,1413,2019-07-04,13h09,43.80656,79.18026,203.85,110.15,64.92038217,35.07961783,,,,,,,,,
Rouge,West,5W,1414,2019-07-04,13h19,43.8044,79.18990,276.16,37.84,87.94904459,12.05095541,,,,,,,,,
Rouge,East,1E,1415,2019-07-04,14h47,43.81506,79.14971,314,0,100,0,,,,,,,,,
Rouge,East,2E,1416,2019-07-04,14h57,43.81684,79.14382,235.56,78.44,75.01910828,24.98089172,,,,,,,,,
Rouge,East,3E,1417,2019-07-04,15h06,43.81717,79.13833,115.52,198.48,36.78980892,63.21019108,,,,,,,,,
Rouge,East,4E,1418,2019-07-04,15h12,43.81833,79.13371,238.49,75.51,75.9522293,24.0477707,,,,,,,,,
Rouge,East,5E,1419,2019-07-04,15h23,43.82006,79.12723,254.89,59.11,81.17515924,18.82484076,,,,,,,,,